ID,Nombre,País,Ciudad,Dirección,Código Postal,Teléfono,Email,Contacto Principal,Lead Time Días,MOQ (Cantidad Mínima),Moneda,Condición de Pago,Tipo,Calificación,Años de Relación,Estado,Notas
PROV-017,ProveedorGlobal17,China,Shenzhen,"Calle 708 #4836, Zona Industrial",36738,+97-654-1542011,contacto368@proveedorglobal17.com,Contacto Ana Wang,22,500,MYR,30 días,Consignatario,3.5,9,En evaluación,Proveedor estratégico
PROV-018,ProveedorGlobal18,China,Shenzhen,"Calle 949 #6252, Zona Industrial",60797,+54-907-6245463,contacto990@proveedorglobal18.com,Contacto Carlos Pérez,3,500,JPY,30 días,Consignatario,4.7,14,En evaluación,Proveedor regular
PROV-019,ProveedorGlobal19,Vietnam,Ho Chi Minh,"Calle 934 #6026, Zona Industrial",87120,+70-856-4296204,contacto795@proveedorglobal19.com,Contacto Michael Tanaka,17,25,CNY,30 días,Distribuidor,4.3,2,Activo,Proveedor confiable
PROV-020,ProveedorGlobal20,Alemania,Berlín,"Calle 286 #9120, Zona Industrial",44634,+17-264-5278461,contacto6@proveedorglobal20.com,Contacto Klaus García,25,25,USD,30 días,Mayorista,4.0,13,Suspendido,Proveedor premium
PROV-021,ProveedorGlobal21,Japón,Tokio,"Calle 503 #9383, Zona Industrial",82110,+46-174-6332789,contacto539@proveedorglobal21.com,Contacto Michael Chen,19,10,MYR,30 días,Importador,3.9,7,Activo,Proveedor estratégico
PROV-022,ProveedorGlobal22,Vietnam,Ho Chi Minh,"Calle 905 #3496, Zona Industrial",96944,+43-439-7053183,contacto301@proveedorglobal22.com,Contacto Michael Kim,19,100,MYR,Contado,Fabricante,4.2,8,Activo,Proveedor premium
PROV-023,ProveedorGlobal23,Malasia,Kuala Lumpur,"Calle 250 #654, Zona Industrial",99463,+42-490-2902100,contacto396@proveedorglobal23.com,Contacto Hiroshi Suzuki,26,50,USD,90 días,Mayorista,3.8,9,Activo,Proveedor regular
PROV-024,ProveedorGlobal24,China,Shenzhen,"Calle 304 #3155, Zona Industrial",51984,+66-184-2609881,contacto172@proveedorglobal24.com,Contacto Carlos Suzuki,3,500,CNY,30 días,Distribuidor,4.7,7,En evaluación,Proveedor confiable
PROV-025,ProveedorGlobal25,Vietnam,Ho Chi Minh,"Calle 551 #7131, Zona Industrial",94746,+10-864-3579573,contacto25@proveedorglobal25.com,Contacto Ana Müller,4,10,CNY,Contado,Distribuidor,4.5,9,Activo,Proveedor premium
PROV-026,ProveedorGlobal26,Vietnam,Ho Chi Minh,"Calle 933 #4238, Zona Industrial",63429,+50-561-7785511,contacto444@proveedorglobal26.com,Contacto Klaus Pérez,15,500,CNY,90 días,Fabricante,4.1,10,Activo,Proveedor premium
PROV-027,ProveedorGlobal27,China,Shenzhen,"Calle 718 #1190, Zona Industrial",56884,+65-208-5862651,contacto806@proveedorglobal27.com,Contacto Hiroshi Kim,5,50,INR,60 días,Importador,4.6,1,Activo,Proveedor nuevo
PROV-028,ProveedorGlobal28,India,Mumbai,"Calle 226 #2235, Zona Industrial",61248,+70-402-3417186,contacto306@proveedorglobal28.com,Contacto Klaus Pérez,20,200,TWD,Contado,Fabricante,2.5,10,Activo,Proveedor premium
PROV-029,ProveedorGlobal29,India,Mumbai,"Calle 970 #1395, Zona Industrial",49936,+27-866-6768873,contacto217@proveedorglobal29.com,Contacto Raj Suzuki,7,25,TWD,30 días,Consignatario,4.6,4,Activo,Proveedor nuevo
PROV-030,ProveedorGlobal30,Malasia,Kuala Lumpur,"Calle 873 #892, Zona Industrial",81939,+60-760-2227162,contacto298@proveedorglobal30.com,Contacto Li Tanaka,6,25,INR,45 días,Mayorista,2.8,11,Activo,Proveedor confiable
PROV-031,ProveedorGlobal31,Japón,Tokio,"Calle 635 #1144, Zona Industrial",35362,+41-597-8560584,contacto337@proveedorglobal31.com,Contacto Yuki Tanaka,25,200,TWD,90 días,Consignatario,3.4,6,Activo,Proveedor nuevo
PROV-032,ProveedorGlobal32,China,Shenzhen,"Calle 321 #4034, Zona Industrial",39035,+92-857-8316947,contacto284@proveedorglobal32.com,Contacto Klaus Chen,24,500,KRW,60 días,Importador,3.6,13,Activo,Proveedor regular
PROV-033,ProveedorGlobal33,India,Mumbai,"Calle 112 #2880, Zona Industrial",94613,+78-183-5707954,contacto880@proveedorglobal33.com,Contacto Wei Suzuki,9,50,CNY,Contado,Fabricante,4.6,11,Activo,Proveedor premium
PROV-034,ProveedorGlobal34,Malasia,Kuala Lumpur,"Calle 415 #9668, Zona Industrial",37886,+5-664-5372416,contacto557@proveedorglobal34.com,Contacto Carlos García,23,25,KRW,60 días,Distribuidor,4.7,10,Suspendido,Proveedor estratégico
PROV-035,ProveedorGlobal35,USA,Los Ángeles,"Calle 476 #8211, Zona Industrial",76900,+12-506-7104651,contacto515@proveedorglobal35.com,Contacto Juan Smith,30,200,TWD,90 días,Distribuidor,3.6,3,Inactivo,Proveedor premium
PROV-036,ProveedorGlobal36,USA,Los Ángeles,"Calle 754 #7922, Zona Industrial",57028,+6-324-9181277,contacto238@proveedorglobal36.com,Contacto Li Tanaka,14,25,USD,30 días,Consignatario,4.8,6,Activo,Proveedor regular
PROV-037,ProveedorGlobal37,México,Ciudad de México,"Calle 903 #761, Zona Industrial",15230,+84-431-2731828,contacto721@proveedorglobal37.com,Contacto Carlos Tanaka,29,500,JPY,90 días,Consignatario,3.9,7,Suspendido,Proveedor regular
PROV-038,ProveedorGlobal38,Corea del Sur,Seúl,"Calle 602 #1276, Zona Industrial",77720,+33-485-4739628,contacto529@proveedorglobal38.com,Contacto Raj Müller,29,50,INR,60 días,Consignatario,2.5,15,Activo,Proveedor regular
PROV-039,ProveedorGlobal39,USA,Los Ángeles,"Calle 236 #1264, Zona Industrial",77441,+83-387-4548668,contacto154@proveedorglobal39.com,Contacto Wei Chen,14,200,CNY,30 días,Importador,4.5,12,Activo,Proveedor regular
PROV-040,ProveedorGlobal40,México,Ciudad de México,"Calle 491 #3453, Zona Industrial",87436,+21-762-7893744,contacto23@proveedorglobal40.com,Contacto Michael Pérez,7,200,TWD,30 días,Consignatario,2.6,10,Activo,Proveedor confiable
PROV-041,ProveedorGlobal41,USA,Los Ángeles,"Calle 265 #2950, Zona Industrial",77717,+52-713-1312392,contacto900@proveedorglobal41.com,Contacto Hiroshi Wang,9,100,INR,60 días,Distribuidor,3.0,7,Inactivo,Proveedor nuevo
PROV-042,ProveedorGlobal42,Malasia,Kuala Lumpur,"Calle 841 #2980, Zona Industrial",91685,+85-623-5437920,contacto172@proveedorglobal42.com,Contacto Klaus García,22,200,CNY,30 días,Importador,3.5,2,Activo,Proveedor nuevo
PROV-043,ProveedorGlobal43,India,Mumbai,"Calle 881 #8264, Zona Industrial",99701,+54-946-3509220,contacto621@proveedorglobal43.com,Contacto Li Chen,18,200,USD,90 días,Consignatario,4.4,2,Activo,Proveedor nuevo
PROV-044,ProveedorGlobal44,Malasia,Kuala Lumpur,"Calle 553 #20, Zona Industrial",98940,+84-541-9758448,contacto431@proveedorglobal44.com,Contacto Klaus Pérez,25,200,MXN,30 días,Importador,4.5,7,Activo,Proveedor premium
PROV-045,ProveedorGlobal45,Malasia,Kuala Lumpur,"Calle 101 #6972, Zona Industrial",27548,+33-588-4900918,contacto932@proveedorglobal45.com,Contacto Li Tanaka,22,200,MXN,45 días,Distribuidor,2.5,12,En evaluación,Proveedor confiable
PROV-046,ProveedorGlobal46,Malasia,Kuala Lumpur,"Calle 536 #1931, Zona Industrial",78126,+1-484-4446353,contacto705@proveedorglobal46.com,Contacto Klaus Patel,14,10,TWD,60 días,Consignatario,3.1,14,Inactivo,Proveedor regular
PROV-047,ProveedorGlobal47,Malasia,Kuala Lumpur,"Calle 375 #4515, Zona Industrial",99208,+51-873-4417412,contacto424@proveedorglobal47.com,Contacto Carlos Suzuki,18,25,KRW,90 días,Consignatario,3.7,5,Inactivo,Proveedor estratégico
PROV-048,ProveedorGlobal48,Alemania,Berlín,"Calle 754 #2263, Zona Industrial",96413,+16-865-4854922,contacto458@proveedorglobal48.com,Contacto Wei Wang,9,200,MXN,45 días,Consignatario,4.0,11,Suspendido,Proveedor confiable
PROV-049,ProveedorGlobal49,USA,Los Ángeles,"Calle 399 #87, Zona Industrial",21939,+19-582-8304421,contacto91@proveedorglobal49.com,Contacto Li Tanaka,10,50,CNY,90 días,Fabricante,4.3,15,Activo,Proveedor premium
PROV-050,ProveedorGlobal50,India,Mumbai,"Calle 294 #9789, Zona Industrial",17531,+23-755-9294125,contacto450@proveedorglobal50.com,Contacto Juan Smith,30,500,MYR,45 días,Distribuidor,2.6,10,Inactivo,Proveedor premium
